Drug,Interaction_Text,Risk_Level
tezacaftor,take with food. tezacaftor should be taken with fat-containing food to increase exposure.,Low
encorafenib,"avoid grapefruit products. grapefruit inhibits cyp3a metabolism, which may increase the serum concentration of encorafenib.",High
encorafenib,"exercise caution with st. john's wort. this herb induces cyp3a metabolism, which may reduce serum levels of encorafenib.",Moderate
encorafenib,take with or without food.,Low
ribociclib,"avoid grapefruit products. grapefruit inhibits cyp3a metabolism, which may increase the serum concentration of ribociclib.",High
ribociclib,"avoid st. john's wort. this herb induces cyp3a metabolism, which may reduce serum levels of ribociclib.",High
ribociclib,take at the same time every day. official labeling suggests taking ribociclib in the morning.,Low
ribociclib,take with or without food.,Low
lasmiditan,avoid alcohol.,High
lasmiditan,"take with or without food. co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",Low
rilmenidine,avoid alcohol. concomitant use is not recommended as alcohol may increase the sedative effects of rilmenidine.,High
rilmenidine,"take with food. however, the bioavailability of rilmenidine is not affected by food.",Low
vonoprazan,"take with or without food. high-fat meals may decrease the absorption of vonoprazan; however, these changes are not considered clinically significant.",Low
ebastine,take with or without food. taking ebastine with food may increase its bioavailability.,Low
cabotegravir,take at the same time every day. take the oral tablets at the same time every day.,Low
cabotegravir,take with food. take the oral tablets with a meal.,Low
rifamycin,avoid alcohol.,High
rifamycin,take with a full glass of water.,Low
rifamycin,take with or without food.,Low
istradefylline,avoid st. john's wort. st. john's wort decreases istradefylline concentrations.,High
istradefylline,take at the same time every day.,Low
istradefylline,take with or without food.,Low
talazoparib,take at the same time every day.,Low
talazoparib,"take with or without food. a high-fat, high-calorie meal decreases cmax and delays tmax, but not to a clinically significant extent.",Low
tenapanor,take before a meal. tenapanor should be administered immediately prior to the first meal of the day and immediately prior to dinner.,Low
momelotinib,take with or without food. food has no clinically significant effect on drug exposure.,Low
capmatinib,"take with or without food. co-administration with high-fat meals slightly alters auc, but not to a clinically significant extent.",Low
niraparib,take at the same time every day.,Low
niraparib,take with or without food. food does not affect the absorption of niraparib.,Low
fostemsavir,"avoid st. john's wort. the use of strong inducers of cyp3a enzymes, including st. john's wort, is contraindicated in patients receiving fostemsavir.",High
fostemsavir,"take with or without food. co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",Low
bictegravir,avoid st. john's wort.,High
bictegravir,take at the same time every day.,Low
bictegravir,take separate from antacids. take bictegravir at least 2 hours before or 6 hours after taking antacids containing aluminum or magnesium.,Low
bictegravir,"take with food. when taking iron or calcium-containing products, bictegravir should be taken with food.",Low
bictegravir,take with or without food.,Low
tivozanib,take with or without food.,Low
baricitinib,"take with or without food. a high-fat meal can decrease the mean auc and cmax of baricitinib and delay tmax, but not to a clinically singificant extent.",Low
nifurtimox,avoid alcohol. alcohol use during nifurtimox treatment may increase undesirable adverse effects.,High
nifurtimox,take with food.,Low
esketamine,avoid alcohol. ingesting alcohol may increase the sedative effects of esketamine.,High
esketamine,"take separate from meals. avoid eating for at least 2 hours, and drinking for at least 30 minutes before taking esketamine.",High
ertugliflozin,avoid excessive or chronic alcohol consumption. alcohol abuse may increase the risk of ketoacidosis.,High
ertugliflozin,take with or without food. food does not significantly affect drug pharmacokinetics. take the drug the morning.,Low
neratinib,"avoid grapefruit products. grapefruit inhibits cyp3a metabolism, which may increase the serum concentration of neratinib.",High
neratinib,exercise caution with st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of neratinib.,Moderate
neratinib,take at the same time every day.,Low
neratinib,take separate from antacids. take antacids at least 3 hours before or after neratinib.,Low
neratinib,take with food.,Low
indium in-111 pentetreotide,drink plenty of fluids.,Low
osilodrostat,"take with or without food. administration with food slightly alters absorption, but not to a clinically significant extent.",Low
relugolix,take with or without food. administration with food does not result in any clinically meaningful differences in pharmacokinetics.,Low
brexanolone,avoid alcohol. ingesting alcohol may increase the dizziness and drowsiness caused by brexanolone.,High
romosozumab,administer calcium supplement. ensure adequate calcium supplementation.,Low
romosozumab,administer vitamin supplements. ensure adequate vitamin d supplementation.,Low
infigratinib,"take on an empty stomach. take drug at least 1 hour before or 2 hours after food, at approximately the same time each day. food increases the systemic exposure to infigratinib.",Low
infigratinib,"take with a full glass of water. do not crush, chew or dissolve.",Low
apalutamide,take at the same time every day.,Low
apalutamide,take with or without food.,Low
valbenazine,avoid st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of valbenazine.,High
valbenazine,take with or without food.,Low
deflazacort,"avoid grapefruit products. grapefruit inhibits cyp3a metabolism, which may increase the serum concentration of deflazacort.",High
deflazacort,avoid st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of deflazacort.,High
deflazacort,take with or without food. the tablets may be crushed and mixed with applesauce and consumed immediately.,Low
vosoritide,"drink plenty of fluids. to reduce the risk of hypotension, patients should drink 240-300 ml of fluid in the hour prior to administration.",Low
vosoritide,"take with food. to reduce the risk of hypotension, patients should ensure adequate food intake prior to vosoritide injection.",Low
bempedoic acid,take with or without food.,Low
difelikefalin,avoid excessive or chronic alcohol consumption. difelikefalin can cause dizziness and somnolence that may be exacerbated by the cns depressant effects of alcohol.,High
selinexor,take with or without food. co-administration with food does not affect pharmacokinetics.,Low
delafloxacin,avoid multivalent ions. separate the administration of multivalent cations from delafloxacin by at least 6 hours before or 2 hours after delafloxacin.,High
delafloxacin,take separate from antacids. the administration of antacids should be separated from delafloxacin by at least 6 hours before or 2 hours after delafloxacin.,Low
delafloxacin,take with or without food.,Low
avelumab,take with or without food.,Low
lemborexant,take on an empty stomach. co-administration with food delays absorption and sleep onset.,Low
duvelisib,avoid st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of duvelisib.,High
duvelisib,take with or without food.,Low
dacomitinib,"avoid grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of dacomitinib.",High
dacomitinib,"exercise caution with st. john's wort. this herb induces cyp3a4 metabolism, which may reduce serum levels of dacomitinib.",Moderate
dacomitinib,take at the same time every day.,Low
dacomitinib,take separate from antacids. take dacomitinib at least 6 hours before or 10 hours after administering antacids.,Low
dacomitinib,take with or without food.,Low
binimetinib,take with or without food.,Low
glasdegib,avoid st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of glasdegib.,High
glasdegib,take at the same time every day.,Low
glasdegib,take with or without food.,Low
elagolix,administer calcium supplement. this will minimize the risk of bone mineral density loss.,Low
elagolix,administer vitamin supplements. administer vitamin d supplements to minimize the risk of bone mineral density loss.,Low
elagolix,take at the same time every day.,Low
elagolix,take with or without food.,Low
letaxaban,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
entrectinib,"avoid grapefruit products. grapefruit inhibits cyp3a metabolism, which may increase the serum concentration of entrectinib.",High
entrectinib,avoid st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of entrectinib.,High
entrectinib,take with or without food. co-administration of food does not affect pharmacokinetics.,Low
benznidazole,take with or without food.,Low
avatrombopag,take with food.,Low
abemaciclib,"avoid grapefruit products. grapefruit inhibits cyp3a metabolism, which may increase the serum concentration of abemaciclib.",High
abemaciclib,avoid st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of abemaciclib.,High
abemaciclib,take at the same time every day.,Low
abemaciclib,take with or without food.,Low
nirogacestat,avoid grapefruit products. nirogacestat is a cyp3a substrate and grapefruit is a known cyp3a inhibitors.,High
nirogacestat,take separate from antacids. take nirogacestat 2 hours before or 2 hours after taking the antacid.,Low
nirogacestat,take with or without food.,Low
fostamatinib,avoid st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of fostamatinib.,High
fostamatinib,take with or without food.,Low
alpelisib,exercise caution with st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of alpelisib.,Moderate
alpelisib,take at the same time every day.,Low
alpelisib,take with food. food does not significantly affect the auc of alpelisib.,Low
ponesimod,take with or without food. the absorption of ponesimod is not significantly affected by food.,Low
tecovirimat,take with food. take tecovirimat within 30 minutes of eating a fatty meal containing approximately 25 grams of fat.,Low
voxilaprevir,avoid st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of voxilaprevir.,High
voxilaprevir,"take separate from antacids. take vosevi (sofosbuvir, velpatasvir, and voxilaprevir) at least 4 hours before or after antacids. antacids have been shown to reduce the serum levels of velpatasvir and may not impact voxilaprevir.",Low
voxilaprevir,take with food.,Low
sarecycline,take separate from antacids.,Low
sarecycline,take with fluids. this may reduce irritation of the esophagus.,Low
sarecycline,take with or without food.,Low
letermovir,avoid st. john's wort. co-administration may lead to decreased serum concentrations of letermovir.,High
letermovir,take with or without food.,Low
telotristat ethyl,take with a high fat meal. high fat food increases the bioavailability of telotristat ethyl.,Low
telotristat ethyl,take with food. food increases the bioavailability of telotristat ethyl.,Low
lorlatinib,"avoid grapefruit products. grapefruit inhibits cyp3a metabolism, which may increase the serum concentration of lorlatinib.",High
lorlatinib,avoid st. john's wort. this herb induces the cyp3a metabolism of lorlatinib and may reduce its serum concentration. co-administration of lorlatinib with st. john's wort is contraindicated.,High
lorlatinib,take at the same time every day.,Low
lorlatinib,take with or without food.,Low
gilteritinib,"avoid grapefruit products. grapefruit inhibits cyp3a metabolism, which may increase the serum concentration of gilteritinib.",High
gilteritinib,"avoid st. john's wort. this herb induces cyp3a4 and p-glycoprotein, which may reduce the serum concentration of gilteritinib.",High
gilteritinib,take at the same time every day.,Low
gilteritinib,take with or without food.,Low
erdafitinib,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of erdafitinib.",Moderate
erdafitinib,exercise caution with st. john's wort. this herb induces the cyp3a metabolism of erdafitinib and may reduce its serum concentration.,Moderate
erdafitinib,"take with or without food. no clinically meaningful differences with erdafitinib pharmacokinetics were observed following administration of a high-fat and high-calorie meal (800 calories to 1,000 calories with approximately 50% of total caloric content of the meal from fat) in healthy subjects.",Low
brincidofovir,take on an empty stomach. brincidofovir is best absorbed on an empty stomach or alongside a low-fat meal.,Low
deutetrabenazine,avoid alcohol. additive sedative effects may occur from co-administration of deutetrabenazine with alcohol.,High
deutetrabenazine,take with food. taking deutetrabenazine with food increases its cmax.,Low
gepirone,take with food. take gepirone 1 time each day with food at about the same time each day.,Low
capivasertib,take with or without food.,Low
estetrol,take with or without food. take at the same time each day.,Low
bexagliflozin,"take with or without food. peak plasma concentrations of bexagliflozin can be delayed if taken after a meal; however, the effects of food on bexagliflozin pharmacokinetics are not considered clinically relevant.",Low
polatuzumab vedotin,"exercise caution with grapefruit products. the active ingredient of polatuzumab vedotin, monomethyl auristatin e (mmae), is a cyp3a4 substrate and grapefruit may increase mmae plasma concentrations.",Moderate
edaravone,"take on an empty stomach. radicava ors should be taken in the morning on an empty stomach after overnight fasting. food should not be consumed for 1 hour after administration except water. the higher the fat content of the previous meal, the longer the fasting time before taking radicava ors will be.",Low
triclabendazole,take with food. taking triclabendazole with food increases the bioavailability of triclabendazole and its sulfoxide metabolite.,Low
vadadustat,"take with or without food. the administration of a standard high-fat meal decreases the auc of vadadustat by 6%, relative to fasted conditions; however, it may be administered with or without food.",Low
fexinidazole,take with food. food assists in fexinidazole absorption.,Low
brigatinib,"avoid grapefruit products. grapefruit inhibits cyp3a metabolism, which may increase the serum concentration of brigatinib.",High
brigatinib,avoid st. john's wort. this herb induces the cyp3a metabolism of brigatinib and may reduce its serum concentration.,High
brigatinib,take with or without food.,Low
propiverine,take at the same time every day.,Low
propiverine,take separate from meals. prmictoryl pediatric (propiverine hydrochloride) tablets should be taken at least 1 hour before meals as high-fat meals reduce the bioavailability of prmictoryl.,Low
propiverine,take with or without food. mictoryl (propiverine hydrochloride) modified-release capsules can be taken with or without food as food does not affect its bioavailability.,Low
darexaban,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
doravirine,avoid st. john's wort. this herb induces the cyp3a metabolism of doravirine and may reduce its serum concentration. co-administration of doravirine with st. john's wort is contraindicated.,High
doravirine,take at the same time every day.,Low
doravirine,"take with or without food. co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",Low
eravacycline,avoid st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of eravacycline. dose adjustment may be necessary for co-administration.,High
rucaparib,"exercise caution with grapefruit products. rucaparib is primarily metabolized through cyp2d6 but is also metabolized by cyp3a4 and cyp1a2. grapefruit inhibits cyp3a4 metabolism, which may increase rucaparib serum levels.",Moderate
rucaparib,"exercise caution with st. john's wort. rucaparib is primarily metabolized through cyp2d6 but is also metabolized by cyp3a4 and cyp1a2. st. john's wort induces cyp3a4 metabolism, which may reduce rucaparib serum levels.",Moderate
rucaparib,take with or without food. a high-fat meals increases drug exposure but not to a clinically significant extent.,Low
betrixaban,"avoid herbs and supplements with anticoagulant/antiplatelet activity. these herbs may increase the risk of bleeding. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
betrixaban,take at the same time every day.,Low
betrixaban,take with food. betrixaban should be taken with food. the cmax and auc of betrixaban are decreased by approximately 60% and 55% when administered together with a 900 calorie meal.,Low
siponimod,avoid st. john's wort. avoid the use of st. john's wort in patients with cyp2c9 genotype *1/*3 and*2/*3.,High
siponimod,take with or without food.,Low
seladelpar,"do not take with bile acid sequestrants. administer drug at least 4 hours before or 4 hours after taking bile acid sequestrants, or at as great an interval as possible.",Low
remimazolam,avoid alcohol. the sedative effects of benzodiazepines may be exacerbated by the co-administration of alcohol.,High
omadacycline,"avoid multivalent ions. wait at least 4 hours after the omadacycline administration to take multivalent cations (eg. zinc, calcium, magnesium, and iron).",High
omadacycline,take on an empty stomach. do not eat for 4 hours before and 2 hours after administering omadacycline. drinking water after administration is acceptable.,Low
omadacycline,take separate from antacids. wait at least 4 hours after omadacycline administration to take antacids.,Low
rimegepant,"take with or without food. pharmacokinetics may be altered when administered with high-fat meals, but the clinical relevance of these effects is unknown.",Low
ibrexafungerp,"take with or without food. a high fat meal increases the auc by 38% and cmax by 32%, which is not considered significant.",Low
copanlisib,"avoid grapefruit products. grapefruit strongly inhibits cyp3a metabolism, which may increase the serum concentration of copanlisib.",High
copanlisib,avoid st. john's wort. this herb strongly induces the cyp3a metabolism of copanlisib and may reduce its serum concentration.,High
fedratinib,"avoid grapefruit products. grapefruit inhibits cyp3a metabolism, which may increase the serum concentration of fedratinib. dose reduction may be necessary.",High
fedratinib,avoid st. john's wort. this herb induces the cyp3a metabolism of fedratinib and may reduce its serum concentration.,High
fedratinib,take with or without food. food may help reduce adverse effects of fedratinib such as nausea and vomiting.,Low
omaveloxolone,"take on an empty stomach. take omaveloxolone capsules on an empty stomach at least 1 hour before eating. compared to fasting conditions, a high-fat meal increased the cmax and auc by approximately 350% and 15%, respectively.",Low
samidorphan,take with or without food. food has only a minor effect on samidorphan pharmacokinetics.,Low
sparsentan,"take before a meal. sparsentan auc and cmax increase following the administration of a high fat, high calorie meal. advise patients to take the full daily dose with water prior to the morning or evening meal. maintain the same dosing pattern in relationship to meals.",Low
asciminib,take on an empty stomach. avoid food consumption for at least 2 hours before and 1 hour after taking asciminib.,High
nafamostat,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
ozanimod,avoid tyramine-containing foods and supplements. avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertension when taken with ozanimod.,High
ozanimod,take with or without food.,Low
givinostat,take with food. prescribing information for givinostat recommends it be administered with food twice daily.,Low
sotagliflozin,take before a meal. sotagliflozin should be taken once daily before the first meal of the day.,Low
monteplase,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
benserazide,take with or without food. benserazide is normally given in combination with levodopa as the combination product prolopa. levodopa should not be given with protein-rich foods as they may reduce its absorption.,Low
lefamulin,"exercise caution with grapefruit products. grapefruit inhibits cyp3a, which may increase the serum concentration of lefamulin.",Moderate
lefamulin,exercise caution with st. john's wort. this herb induces the cyp3a metabolism of lefamulin and may reduce its serum concentration.,Moderate
lefamulin,take on an empty stomach. this drug should be taken at least 1 hour before or 2 hours after a meal.,Low
lefamulin,take with a full glass of water. the tablet should be swallowed whole with water.,Low
gabexate,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
secnidazole,avoid alcohol. avoid consumption of alcoholic beverages and preparations containing ethanol or propylene glycol during treatment with secnidazole and for at least two days after completing therapy.,High
secnidazole,"take with or without food. sprinkle onto applesauce, yogurt, or pudding and ingest without crushing the granules.",Low
quizartinib,take with or without food.,Low
oxatomide,take with food.,Low
tazemetostat,take with or without food.,Low
resmetirom,"take with or without food. a high fat meal may reduce cmax and auc delay tmax, but not to a clinically significant extent.",Low
darolutamide,avoid st. john's wort. this herb induces cyp3a and p glycoprotein and may reduce the serum concentration of darolutamide.,High
darolutamide,take with food. this increases the bioavailability of darolutamide.,Low
lactitol,take with food. the manufacturer recommends administration with meals.,Low
pexidartinib,"avoid grapefruit products. grapefruit inhibits cyp3a metabolism, which may increase the serum concentration of pexidartinib.",High
pexidartinib,avoid st. john's wort. this herb induces the cyp3a metabolism of pexidartinib and may reduce its serum concentration.,High
pexidartinib,"do not take with or immediately after a high-fat meal. taking pexidartinib with a high-fat meal may increase incidence and severity of adverse reactions, including hepatotoxicity.",Low
pexidartinib,take on an empty stomach. take at least 1 hour before or 2 hours after eating a meal or snack.,Low
pexidartinib,take separate from antacids. take antacids at least 2 hours before or after pexidartinib.,Low
silicon,take with food.,Low
oteseconazole,"take with food. oteseconazole must be taken with food, and capsules must be swallowed whole and not chewed, crushed, dissolved, or opened. the intake of high-fat, high-calorie meals (800-1000 calories; 50% fat) increases oteseconazole c<sub>max</sub> and auc<sub>0-72h</sub> by 45% and 36%, respectively. no significant differences were detected when oteseconazole was administered with a low-fat, low-calorie meal.",Low
macimorelin,"avoid st. john's wort. this herb induces the cyp3a metabolism of macimorelin and may reduce its serum concentration, which may cause a false-positive test result.",High
macimorelin,take on an empty stomach. fast for at least eight hours before taking macimorelin.,Low
lusutrombopag,take with or without food.,Low
fluindione,"avoid herbs and supplements with anticoagulant/antiplatelet activity. herbs with anticoagulant activity may have additive effects with fluindione. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
pancrelipase lipase,take with food.,Low
protein s human,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
plecanatide,take with or without food.,Low
pepsin,drink plenty of fluids.,Low
pepsin,take before a meal.,Low
ferrous sulfate anhydrous,avoid milk and dairy products. take ferrous sulfate at least 2 hours before or after milk.,High
ferrous sulfate anhydrous,limit caffeine intake. food and beverages containing caffeine may reduce iron absorption.,Moderate
ferrous sulfate anhydrous,take at least 2 hours before or after calcium supplements.,Low
ferrous sulfate anhydrous,take separate from antacids. take ferrous sulfate at least 2 hours before or after antacids.,Low
ferrous sulfate anhydrous,take with food. this may reduce gastric irritation.,Low
ferrous sulfate anhydrous,take with foods containing vitamin c. foods rich in vitamin c increase the absorption of iron.,Low
clorindione,"avoid herbs and supplements with anticoagulant/antiplatelet activity. these may increase anticoagulant/antiplatelet activity of clorindione. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
diphenadione,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
sodium feredetate,avoid milk and dairy products.,High
sodium feredetate,avoid multivalent ions.,High
sodium feredetate,limit caffeine intake. food and beverages containing caffeine may reduce iron absorption.,Moderate
sodium feredetate,take separate from antacids.,Low
sodium feredetate,take with foods containing vitamin c. foods rich in vitamin c increase the absorption of iron.,Low
tioclomarol,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
almasilate,take after a meal.,Low
almasilate,take with a full glass of water.,Low
melagatran,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
saruplase,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
naftazone,take with or without food.,Low
camostat,take with food. take after a meal.,Low
tilactase,take before a meal. take tilactase before eating food containing lactose.,Low
fluorodopa (18f),"take on an empty stomach. before fluorodopa f18 administration do not eat or drink anything, except for water, for at least 4 hours.",Low
anethole trithione,take before a meal.,Low
fenofibric acid,take with or without food.,Low
enasidenib,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of enasidenib; however, cyp3a4 is one of many enzymes involved in enasidenib metabolism.",Moderate
enasidenib,"exercise caution with st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum concentration of enasidenib; however, cyp3a4 is one of many enzymes involved in enasidenib metabolism.",Moderate
enasidenib,take at the same time every day.,Low
enasidenib,take with a full glass of water.,Low
enasidenib,take with or without food.,Low
pibrentasvir,avoid st. john's wort. co-administration may lead to decreased serum concentrations of pibrentasvir.,High
pibrentasvir,take with food.,Low
glecaprevir,avoid st. john's wort. co-administration may lead to decreased serum concentrations of glecaprevir.,High
glecaprevir,take with food.,Low
semaglutide,"take on an empty stomach. for oral use of semaglutide, take 30 minutes before the first meal of the day.",Low
semaglutide,"take with plain water. for oral use of semaglutide, do not exceed 4 ounces of water (1/2 cup).",Low
testosterone undecanoate,take with food. food enhances the systemic exposure of testosterone undecanoate administered as oral capsules.,Low
ferric cation,avoid milk and dairy products.,High
ferric cation,take with food. take ferric cation with or just after meals.,Low
estradiol acetate,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of estradiol acetate.",Moderate
estradiol acetate,exercise caution with st. john's wort. this herb induces the cyp3a4 metabolism of estradiol acetate. therefore it may reduce the serum concentration and effectiveness of estradiol acetate.,Moderate
estradiol cypionate,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of estradiol cypionate.",Moderate
estradiol cypionate,exercise caution with st. john's wort. this herb induces the cyp3a4 metabolism of estradiol cypionate. therefore it may reduce the serum concentration and effectiveness of estradiol cypionate.,Moderate
estradiol valerate,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of estradiol valerate.",Moderate
estradiol valerate,exercise caution with st. john's wort. this herb induces the cyp3a4 metabolism of estradiol valerate. therefore it may reduce the serum concentration and effectiveness of estradiol valerate.,Moderate
baloxavir marboxil,"avoid antacids. baloxavir may form a chelate with polyvalent cations in antacids, which may decrease plasma concentrations of baloxavir.",High
baloxavir marboxil,"avoid milk and dairy products. baloxavir may form a chelate with polyvalent cations such as calcium in dairy products, which may decrease plasma concentrations of baloxavir.",High
baloxavir marboxil,"avoid multivalent ions. multivalent ions such as magnesium, calcium, and aluminum can form a chelate with baloxavir, which can reduce the absorption of baloxavir.",High
baloxavir marboxil,"take with or without food. food reduces drug absorption, but not to a clinically significant extent.",Low
ox bile extract,take after a meal.,Low
bromotheophylline,drink plenty of fluids. avoid dehydration by drinking 6-8 glasses of water daily.,High
bromotheophylline,take with a full glass of water.,Low
fosnetupitant,avoid st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of fosnetupitant.,High
galcanezumab,avoid alcohol.,High
galcanezumab,take with or without food.,Low
(s)-warfarin,avoid drastic dietary changes.,High
(s)-warfarin,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
(s)-warfarin,ensure consistent vitamin k intake.,Low
tocopherylquinone,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
silodrate,"take separate from meals. take inon ace (dimethicone, magnesium hydroxide, silodrate) between meals,.",Low
tenofovir,take with food.,Low
centella asiatica,take with food.,Low
vibrio cholerae cvd 103-hgr strain live antigen,take separate from meals. avoid food or drink for 60 minutes before and after administration as it may interfere with the protective effect of the vaccine buffer.,High
magnesium ascorbate,take with or without food. taking magnesium supplements with food may reduce the risk of diarrhea.,Low
zinc ascorbate,avoid milk and dairy products. separate the use of zinc from these products by at least 2 hours before administration. separate for 2 hours after administration if these products also contain phosphorus.,High
zinc ascorbate,"do not take with bran and high fiber foods. for optimal efficacy, take zinc at least 2 hours before or after eating high-fiber foods.",Low
zinc ascorbate,take on an empty stomach. take at least 1 hour before and 2 hours after eating for optimal absorption. zinc can be taken with food to reduce gastrointestinal upset.,Low
zinc acetate,avoid milk and dairy products. separate the use of zinc from these products by at least 2 hours before administration. separate for 2 hours after administration if these products also contain phosphorus.,High
zinc acetate,"do not take with bran and high fiber foods. for optimal efficacy, take zinc at least 2 hours before or after eating high-fiber foods.",Low
zinc acetate,"take on an empty stomach. take at least 1 hour before or after eating and drinking, excluding drinking plain water.",Low
ferrous gluconate,avoid milk and dairy products. take ferrous gluconate at least 2 hours before or after milk.,High
ferrous gluconate,limit caffeine intake. food and beverages containing caffeine may reduce iron absorption.,Moderate
ferrous gluconate,take at least 2 hours before or after calcium supplements.,Low
ferrous gluconate,take separate from antacids. take ferrous gluconate at least 2 hours before or after antacids.,Low
ferrous gluconate,take with food. this reduces gastric irritation.,Low
ferrous gluconate,take with foods containing vitamin c. foods rich in vitamin c increase the absorption of iron.,Low
ferrous ascorbate,take on an empty stomach. taking ferrous ascorbate with food reduces the absorption of iron.,Low
ferrous fumarate,avoid milk and dairy products. take ferrous fumarate at least 2 hours before or after milk.,High
ferrous fumarate,limit caffeine intake. food and beverages containing caffeine may reduce iron absorption.,Moderate
ferrous fumarate,take at least 2 hours before or after calcium supplements.,Low
ferrous fumarate,take separate from antacids. take ferrous fumarate at least 2 hours before or after antacids.,Low
ferrous fumarate,take with food. this reduces gastric irritation.,Low
ferrous fumarate,take with foods containing vitamin c. foods rich in vitamin c increase the absorption of iron.,Low
"sodium phosphate, dibasic",take with a full glass of water.,Low
"sodium phosphate, dibasic",take with food.,Low
"sodium phosphate, monobasic, unspecified form",take with a full glass of water.,Low
"sodium phosphate, monobasic, unspecified form",take with food.,Low
"sodium phosphate, dibasic, unspecified form",take with a full glass of water.,Low
"sodium phosphate, dibasic, unspecified form",take with food.,Low
lithium citrate,avoid alcohol.,High
lithium citrate,avoid iodine-containing foods and supplements.,High
lithium citrate,drink plenty of fluids. drink at least 2500 to 3000 ml of fluids daily.,Low
lithium citrate,limit caffeine intake.,Moderate
lithium citrate,take with food. lithium can cause hyponatremia. include adequate salt in the diet.,Low
lithium carbonate,avoid alcohol. alcohol increased peak serum concentrations of lithium.,High
lithium carbonate,avoid iodine-containing foods and supplements. iodine and lithium may synergistically produce hypothyroidism.,High
lithium carbonate,limit caffeine intake. caffeine may decrease lithium concentrations.,Moderate
lithium carbonate,take with food. food reduces gastrointestinal upset.,Low
magnesium,take with or without food. taking magnesium supplements with food may reduce the risk of diarrhea.,Low
tetraferric tricitrate decahydrate,take with food.,Low
chromium nicotinate,administer vitamin supplements. foods or supplements containing niacin (vitamin b3) may improve the absorption of chromium.,Low
chromium nicotinate,take with foods containing vitamin c. foods rich in vitamin c increase the absorption of chromium.,Low
"zinc sulfate, unspecified form",avoid milk and dairy products. separate the use of zinc from these products by at least 2 hours before administration. separate for 2 hours after administration if these products also contain phosphorus.,High
"zinc sulfate, unspecified form","do not take with bran and high fiber foods. for optimal efficacy, take zinc at least 2 hours before or after eating high-fiber foods.",Low
"zinc sulfate, unspecified form",take on an empty stomach. take at least 1 hour before and 2 hours after eating for optimal absorption. zinc can be taken with food to reduce gastrointestinal upset.,Low
